tam,kan,mal,tel
peyar,hesaru,per,
namam,nama,namam,
vivaram,,vivaranam,
etirpatam,,viparitam,
karunai,karune,karuna,
anutapam,anukampa,anukampa,
piracavam,prasava,prasavam,
pirayanam,nirgamana,ayanam,
payanam,prayana,calanam,
"kantupitippu,",,kantupitittam,
kaiyakappatuttutal,,kaivasappetuttal,
vankutal,,vannikkal,
japti,japti,japti,
elam,,lelam,
pirayaccittam,prayascita,prayascittam,
pani,,pani,
vanti,vanti,,
utaittal,,cavittal,
muttam,muttu,muttam,
cavapparicotanai,,savaparisodhana,
nakkutal,,nakkal,
tantiram,tantra,tantram,
erral,seralu,,
etirppu,,etirpp,
kolai,,kola,
vatam,vada,vadham,
"vanti,",vanti,,
tutaittal,,tutaykkal,
apisekam,,abhisekam,
alankaram,alankara,alankaram,
maruniyamanam,purnaracane,punarnirmmanam,
vekam,vega,vegam,
nonti,,nontal,
otutal,,ottam,
kutiraicavari,kudaresavari,kutirasavari,
parattal,,parakkal,
tirttayattirai,tirtha yatre,tirthatanayatra,
nirvalippayanam,nirina prayana,,
cumattal,,cumatetukkal,
atutal,,attam,
piravakam,pravaha,pravaham,
carivu,,cariv,
currutal,,curaral,
nullutal,,nullal,
curukkam,,curukkal,
kurukkam,,curukkal,
valarccim,,valarcca,
tippitittal,,tipituttam,
kayakalpam,kalakalpa,kayakalpam,
natanam,natane,natyam,
arampam,arambha,arambham,
hakki,,hokki,
rakpi,ragbi,ragbi,
kirikket,kriket,,
polo,,polo,
valipal,,volibal,
petmintan,,betminran,
tennis,tennis,tennis,
kannamuccu,kanna muccale,,
rammi,,rammi,
snukkar,snukar,,
caturankam,caduranga,caturangam,
kvanja,kvanja,kvanja,
turitam,,turisam,
tallutal,tallata,,
ceytal,,ceyyal,
viyaparam,vyapara,vyaparam,
vittu vitu,bittu bidu,,
curukkeluttu,,curukkelutt,
vettai,,vetta,
kaya cikiccai,,kaya cikitsa,
inima,,inima,
alopati,,aloppati,
homiyopati,,homiyoppati,
joli,,joli,
patam,patha,patham,
kaval,kavalu,kaval,
aniyayam,,papiyaya,
mapatakam,mahapapa,mahapatakam,
makapatakam,mahapapa,mahapatakam,
natakam,ata,natyam,
atarmam,adharma,,
pavam,papa,,
kurram,adharma,kurram,
patakam,akrama,,
makapavam,mahapapa,mahapapam,
atankavati,atankavada,,
tiviravati,ugravadi,tivravadam,
palatkaram,balatkara,balatsangam,
palavantam,balatkara,balatsangam,
